Article Title,Preview Text,Summary,URL
DeBriefed 30 May 2025: Earth eyes 2C; Why net-zero is not behind UK bill hikes; US academics stage climate science ‘fire hose’,"Welcome to Carbon Brief’s DeBriefed.

An essential guide to the week’s key developments relating to climate change.

This week

Earth eyes 2C

TEMPERATURE WARMING: Global temperatures could hit nearly 2C above pre-industrial levels for the first time in the next five years, according to new data from the UN World Meteorological Organization (WMO) covered by the Financial Times. The outlet noted that this would not represent a breach of the Paris Agreement target of keeping warming below 2C, as this threshold is typically measured over at least two decades. However, it added that 2C of warming would result in a “fall in crop yields” and more than a third of the world’s population being exposed to extreme heat.

WILDFIRE EMERGENCY: Wildfires in Canada have forced thousands of people to flee their homes, CBC News reported. The government of Manitoba declared a state of emergency after evacuating 17,000 people and neighbouring province Saskatchewan followed suit a day later, CBC News said. Manitoba premier Wab Kinew said the prevalence of fire in “every region” was a “sign of a changing climate that we are going to have to adapt to”, according to Le Monde. BBC News noted that “scientists have linked worsening wildfire seasons to climate change”.

MONSOON IN MAY: Monsoon rains hit the coast of India’s southernmost state of Kerala eight days early, marking the earliest arrival of the rainy season in 16 years, Reuters reported. Just two days later, the rains reached Mumbai – the city’s earliest monsoon in 75 years, according to Business Standard. India Today said human-caused climate change and “natural climatic systems” played a role.

ALPINE DISASTER: A landslide of ice, mud and rocks triggered by the collapse of a glacier has buried a large part of the Swiss village of Blatten, Swissinfo reported. Climate scientist Christian Huggel told Reuters that climate change had “likely played a part in the deluge”, given that the loss of permafrost can “negatively affect the stability of mountain rock”. The Swiss army has been deployed to find a missing person, Reuters said.

Around the world

INDONESIA UN-QUITS COAL: Indonesia set out plans to build new coal plants in its power supply plan for 2025-2034, “backtrack[ing]” on its previous pledge to gradually phase out coal assets, the Straits Times said.

Indonesia set out plans to build new coal plants in its power supply plan for 2025-2034, “backtrack[ing]” on its previous pledge to gradually phase out coal assets, the Straits Times said. NIXED: Inside Climate News covered analysis which found that $14bn of clean energy investment has been cancelled so far this year in the US. The non-profit group behind the figures – Environmental Entrepreneurs – said this was an “ominous sign” as the Senate gears up to vote on a bill that would, if passed in its current form, gut Biden-era clean energy tax credits.

Inside Climate News covered analysis which found that $14bn of clean energy investment has been cancelled so far this year in the US. The non-profit group behind the figures – Environmental Entrepreneurs – said this was an “ominous sign” as the Senate gears up to vote on a bill that would, if passed in its current form, gut Biden-era clean energy tax credits. ‘CLIMATE SETBACK’: Bloomberg reported that Australia has given preliminary approval to extend the life of its biggest and oldest liquefied natural gas (LNG) plant from 2030 to 2070.

Bloomberg reported that Australia has given preliminary approval to extend the life of its biggest and oldest liquefied natural gas (LNG) plant from 2030 to 2070. THE NEW SCEPTICS: COP30 president-designate André Corrêa do Lago told the Guardian that attempts to discredit climate policies are the “new kind of opposition to climate action”. He said: “It’s not a scientific denial, it’s an economic denial.”

COP30 president-designate André Corrêa do Lago told the Guardian that attempts to discredit climate policies are the “new kind of opposition to climate action”. He said: “It’s not a scientific denial, it’s an economic denial.” FARAGE’S ‘FANTASY’: Meanwhile, the UK’s hard-right Reform party led by Nigel Farage has been accused of espousing “fantasy economics” after falsely claiming £225bn could be saved by scrapping net-zero projects, according to the Evening Standard.

Meanwhile, the UK’s hard-right Reform party led by Nigel Farage has been accused of espousing “fantasy economics” after falsely claiming £225bn could be saved by scrapping net-zero projects, according to the Evening Standard. GREEN TOURIST LEVY: Hawaii has introduced a tax on hotel rooms and holiday rentals which will raise money for environmental protection and defences against natural disasters, the Guardian reported.

18 football pitches

The equivalent amount of primary tropical forest that was lost every minute in 2024, according to data from the World Resources Institute.

Latest climate research

Researchers in Nature Climate Change looked at how floods drove migration between counties in the US from 2006-19, finding young, educated people were more likely to leave following a disaster, while older, unemployed people were more likely to move into an affected area.

Sea ice strength and “pressure” along two major Arctic shipping routes will decline “substantially” over the next two decades under strong warming, according to findings in Geophysical Research Letters.

A study in Nature revealed that changes to concentrations of air pollutants have contributed in recent decades to an increase in the global “methane sink”, the amount of methane that is removed from the atmosphere and thus unable to drive up temperatures.

(For more, see Carbon Brief’s in-depth daily summaries of the top climate news stories on Tuesday, Wednesday, Thursday and Friday.)

Captured

A new analysis by Carbon Brief of data from UK energy regulator Ofgem showed how the biggest driver of recent increases in electricity bills in the UK has been wholesale electricity prices – which in the UK are set almost exclusively by wholesale gas prices. In contrast, “green levies” – costs added to bills in order to pay for government climate policies – actually fell during the height of the gas price spike, as the dark grey area of the chart shows. This runs counter to opposition politicians’ claims that the UK’s high electricity prices are caused by its target for net-zero emissions by 2050 and green levies.

Spotlight

Livestreaming for climate science

This week, Carbon Brief speaks to US climate scientists taking part in a 100-hour livestream aimed at raising awareness of their work and the risks they face.

Marathon livestreams are typically the preserve of video gamers, sex workers and chess stars – not climate scientists. But unusual times call for unusual measures.

Hundreds of climate scientists and meteorologists from across the US are this week participating in a 100-hour livestream, which aims to raise awareness of their work as the government gears up for a major programme of cuts to federal science agencies.

The broadcast runs day and night until Sunday afternoon on YouTube, with each speaker advised to dedicate their 30-45 minute session to presenting their research in layperson’s terms – with a mention of how it is or could be impacted by federal cuts to science.

The online event comes after the Trump administration set out plans to halve NASA’s science budget and shrink the National Oceanic and Atmospheric Administration (NOAA’s) funding by more than a quarter.

The livestream will be rolling while NASA’s climate and space monitoring lab, the Goddard Institute for Space Studies, is moving out of its New York building on 31 May, after the federal government abruptly terminated the space agency’s lease.

(The White House has also cancelled funding to the body that produces the country’s National Climate Assessment, blocked US scientists from attending Intergovernmental Panel for Climate Change meetings and laid off hundreds of workers at the agency responsible for hurricane preparations.)

Speaking to Carbon Brief in a personal capacity, climate scientist and keynote speaker Dr Kate Marvel described the livestream event as a “fire hose of public engagement”. She added:

“It is scientists making the case to the people we work for. We work for the American people because we receive taxpayer dollars. It is really important for us to share our results, to explain to people why what we do is important and to help them see themselves in what we do.”

‘Climate science affects us all’

At 1:30am California time – 4:30am New York time – on Thursday morning, more than 750 people were tuned in to the livestream, and the comment section was lively.

Some viewers shared words of encouragement – “not from the continent of America but still here to support!!! climate science affects us all!!!!” and “beautiful visualisations!”

Others focused on the science: “Look up the relationship between the Salton Sea and earthquakes – fascinating findings”, “does this mean misaligned storms have two different impacts on each level?” and “albedo effect [fire emoji]”.

Livestream organiser Dr Margaret Duffy, who studies cloud dynamics at the Massachusetts Institute of Technology, said the event’s “long format” is designed to underscore the “widespread” nature of the cuts. She told Carbon Brief:

“[It will] make clear that it’s not one or two programmes that are being cut, [nor] one or two researchers that are losing their funding. Researcher after researcher after researcher will explain what they do, and then make the connection to the cuts and what is happening to them.”

The audience is being pointed to materials to help them contact their political representatives about cuts to climate and weather research – but this is not an obligation, Duffy said, explaining that “at a very basic level, we just want to share with the public what it is that we do”.

Climate scientist Marvel commended the livestream organisers for “stepping up” amid much-justified “flailing” and “panic”, adding:

“We are not in normal times. There is a lot of fear and there’s a lot of reasons to be afraid. I think trouble may be coming for us – but we just need to make sure that we get in good trouble. [In other words] you shake things up, you maybe attract negative attention. Maybe it’s scary and maybe there are consequences. But ultimately, you are always going to be happy to have done the right thing.”

Watch, read, listen

WATER CRISIS: Atmos Earth looked at how changing rainfall patterns are impacting the lives of Palestinians already denied access to water.

FRAGILE TEXTS: In a photo essay, Al Jazeera looked at how encroaching desert sands are threatening centuries-old manuscripts stored in Oualata, Mauritania.

LURCHING RIGHT: For Drilled, Amy Westervelt unpacked the structural issues in the US media hurting climate coverage.

Coming up

Pick of the jobs

Carbon Brief , summer internship | Salary: London living wage (£13.85 an hour). Location: London (hybrid)

, summer internship | Salary: London living wage (£13.85 an hour). Location: London (hybrid) British Antarctic Survey , space weather scientist | Salary: £41,344-£45,479. Location: Cambridge, UK

, space weather scientist | Salary: £41,344-£45,479. Location: Cambridge, UK UN Development Programme,energy finance specialist | Salary: Unknown. Location: Abidjan, Cote d’Ivoire

DeBriefed is edited by Daisy Dunne. Please send any tips or feedback to [email protected].

This is an online version of Carbon Brief’s weekly DeBriefed email newsletter. Subscribe for free here.","The article highlights that global temperatures will likely hit nearly 2 degrees Celsius above pre-industrial levels within five years, not exceeding the Paris Agreement threshold. It also discusses the news of wildfires in Canada and the early arrival of the monsoon rains in India, marking the earliest arrival of the rainy season in 16 years.",https://www.carbonbrief.org/debriefed-30-may-2025-earth-eyes-2c-why-net-zero-is-not-behind-uk-bill-hikes-us-academics-stage-climate-science-fire-hose/
"Ecosystem Status Reports For The Gulf Of Alaska, Bering Sea And Aleutian Islands","Ecosystem Status Reports For The Gulf Of Alaska, Bering Sea And Aleutian Islands

Alaska Ecosystem Status Reports are to provide stronger links between Alaska ecosystem research and fishery management and spur new understanding of the connections between ecosystem components by bringing together the results of diverse research efforts.","The reports focus on ecosystem research and fishery management, aiming to improve understanding of ecosystem health and functioning. They emphasize the critical connections between different ecosystem components by compiling research findings. The reports are designed to aid in identifying and addressing pressing environmental challenges in the Bering Sea, Gulf of Alaska, and Aleutian Islands.",https://www.fisheries.noaa.gov/alaska/ecosystems/ecosystem-status-reports-gulf-alaska-bering-sea-and-aleutian-islands
News,"Discover how the Singapore Energy Story sets the vision towards a net-zero energy future.

Gain insights into the four switches that power Singapore’s economy and our daily lives.","Singapore's Energy Story is paving the way to a greener future with a net-zero energy vision. The article highlights four key switches that support Singapore's energy transition: sustainable cities, smart grids, and digital innovation. These are critical components that will drive the country towards a cleaner and more efficient energy system.",https://www.ema.gov.sg/news-events/news?id=media-releases/
News,"Discover how the Singapore Energy Story sets the vision towards a net-zero energy future.

Gain insights into the four switches that power Singapore’s economy and our daily lives.","The Singapore Energy Story aims to be a green and sustainable net-zero energy future, with four switches that include transforming assets, resilient grids, green mobility, and clean growth. It highlights the key role in accelerating the transition towards a more sustainable energy model.",https://www.ema.gov.sg/news-events/news?id=media-releases/our-energy-story/energy-grid/energy-storage-systems
Energy-Industry Scholarship (EIS),"Introduction to Energy-Industry Scholarship

The Energy sector forms the backbone of Singapore’s economy and the daily lives of people living and working in Singapore, supplying electricity that is critical for powering an entire spectrum of activity in homes, schools, businesses, and essential services. With the effects of climate change already at our shores, the Energy sector - which accounts for around 40% of Singapore’s total emissions - will press forward with our transition towards a more sustainable energy future.

If you are looking for something more exciting than a day job in the office, and somewhere where you can put your engineering skills to make a real impact, then the Energy sector is the place to be in. Apply for the Energy-Industry Scholarship (EIS) today, and discover for yourself how meaningful, stable and rewarding a career in the Energy sector can be.

Eligibility

Singapore Citizens and Permanent Residents who will be/ are currently pursuing relevant engineering courses (e.g. mechanical, electrical, power engineering related courses) at a local polytechnic are eligible.

IHL Full-Term Scholarship Mid-Term Scholarship* Polytechnic Yes Yes

*Open to current students with at least one academic year remaining at the point of application.

Students who will be / currently pursuing relevant engineering courses at a university are encouraged to apply for the Singapore-Industry Scholarship (SgIS) or EMA Scholarship.

Past Scholars



Indra Haqim Bin Mohd Zulkifi

Diploma in Mechanical Engineering

Singapore Polytechnic

Teo Mei Fang

Diploma in Electrical and Electronic Engineering

Singapore Polytechnic

Scholarship Benefits

Scholarship Value

The EIS is valued at up to $46,500 for full-term scholarships and $31,400 for mid-term scholarships. It comprises the following benefits:

Tuition fees (as published by the Polytechnic for the relevant academic year)

One-time allowance of $1,200 (to purchase items related to the course of study, such as computers and books)

Monthly living allowance of $1,000

Sponsoring Opportunities

Industrial Attachments

Scholar Management (e.g. Mentorship)

Invitations to closed-door events with industry participants

Bond Period

Scholars will be bonded to their respective sponsoring organisations upon completion of their studies. The bond period will commensurate with the total scholarship value. Please refer to the table below for more information.

Type of Scholarship Polytechnic Year 1 (Full-Term) 3 years Year 2 (Mid-Term) 2 years Year 3 (Mid-Term) 2 years

Frequently Asked Questions

Click here to see a list of frequently asked questions.",Here's a brief summary: The article talks about how students can apply for the Energy Industry Scholarship (EIS) to make an impact with their engineering skills in the energy sector while making a career in Singapore. It highlights the eligibility for polytechnic and university students and mentions some of the notable past scholars.,https://www.poweringlives.gov.sg/scholarships-awards/students/eis
"Environment, Health, Safety & Sustainability","EHS stands for environment, health and sustainability. EHS covers a wide range of topics related to the protection of both people and the environment. EHS programs are designed to minimize or eliminate risks associated with exposure to hazardous materials, work-related injuries, and environmental accidents. Understanding, reporting and managing a company’s sustainability performance has become increasingly important. Sometimes sustainability is part of the EHS domain (EHS&S) and sometimes it is a separate department.","The article discusses the importance of EHSG (Environment, Health, and Sustainability) programs that focus on workplace health and safety, environmental protection, and managing a company's sustainability. These programs are essential to minimize risks, improve health and wellness of employees and communities, and provide guidance for companies to contribute to environmental sustainability.",https://sphera.com/resources/solutions/environment-health-safety-sustainability/
Global South Climate Database,"Join the database

English-speaking climate experts from the global south are invited to fill out the form below, so that reporters and outlets from around the world can get in touch with you.

Add your details to the database Register

If you are a journalist, please do not add your details to the database. Instead, you are invited to use the database in your reporting.

When filling out the form, questions marked with a star are required, but all other questions are optional. Your details will be added to the public database following verification of your identity.

Global South: The “global south” is a term used to broadly describe lower-income countries in regions such as Africa, Asia and Latin America. It is often used to denote nations that are either in the process of industrialising or are newly industrialised, as well as those that are the former subjects of colonialism. It does not refer directly to the southern hemisphere and, indeed, many nations falling into this category are located north of the equator. As with overlapping terms such as “Third World” or “developing”, it is not universally accepted and is an imperfect way of describing a large group of countries with very different histories, cultures and economies. The term is often used in discussions about climate justice. Close The “global south” is a term used to broadly describe lower-income countries in regions such as Africa, Asia and Latin America. It is often used to denote nations that are either in the process of industrialising or are newly industrialised, as well as those that are the former subjects of colonialism. It does not refer directly to the southern hemisphere and, indeed, many nations falling into this category are located north of the equator. As with overlapping terms such as “Third World” or “developing”, it is not universally accepted and is an imperfect way of describing a large group of countries with very different histories, cultures and economies. The term is often used in discussions about climate justice. Global South: The “global south” is a term used to broadly describe lower-income countries in regions such as Africa, Asia and Latin America. It is often used to denote nations that are either in… The “global south” is a term used to broadly describe lower-income countries in regions such as Africa, Asia and Latin America. It is often used to denote nations that are either in… Read More

Feel free to forward the form to climate experts from the global south who you think might be interested in joining the database. However, please do not fill it in on anyone else’s behalf, as the form asks for personal details (such as contact information).

If you wish to amend or remove your details from the list, please email [email protected].

Have you used the database? Please click here to give feedback Click here

About the database

The database currently lists 1,049 experts from 102 countries. The map below shows the nationalities of the respondents, where larger circles indicate a greater number of experts.

All experts on the database are nationals of at least one global south country. Some experts have dual nationality and so are counted twice on this graphic.

There are currently 87 languages represented on the database. Spanish, Hindi, French and Portuguese are the most commonly spoken languages by experts on the database, after English.

Around 60% of respondents to the database use he/him pronouns, while 37% use she/her.

To learn more about the database, please watch our webinar below:

FAQs

Who can submit their details to the database?

Each person submits their own details to the database and their entries are verified by the database’s verification team. The database includes English-speaking climate science, climate policy and energy experts, who are nationals of global south countries.

The database does not include:

Journalists

Activists who are not also experts in climate science, climate policy or energy

Experts from countries in the global north, including Australia

Experts who live in the global south, but are nationals of only global north countries

Experts who do not specialise in climate change

How are submissions to the database verified?

Our team checks each submission, to ensure that:

The individual has nationality with at least one country in the global south.

The individual has relevant expertise in climate science, energy or policy.

The submission is not spam, a bot or a repeat.

Spelling mistakes are removed and answers are formatted correctly.

We use the applicant’s webpage for and other publicly available information to do this. If important details are missing or unclear, the team will email the expert for clarification.

I submitted my details to the database using the google form. Why am I not on the website yet?

New responses to the database are verified every few months. However, it could take longer if the team needs to clarify anything with you.

If you submitted your details over 3 months ago and are still not on the website, please check your emails (also check your spam folder). We may be waiting for a response from you.

How do I change or delete my details?

If you wish to amend or remove your details from the list, please email

[email protected]

Why does the map show experts from global north countries?

All experts on the database are nationals of at least one global south country. However, some experts have dual nationality, and are affiliated with both a global north and a global south country. Experts with dual nationality are shown twice on the map.

Is there any way of knowing who will be a good speaker? Could you rate people?

The database includes a section for experts to list their media experience. This will allow journalists to see who has experience, and look at past media appearances to make your own judgement.

Why must experts submit their own details? This is putting the burden of responsibility back onto the global south.

Self-submission means that only people interested in being contacted by the media are included in the database. It also limits any biases that might arise from the Global South Climate Database team selecting experts for the database.

Experts must also submit their own details to the database for data protection reasons. This ensures that everyone on the database has given permission for their personal data to be shared publicly. To keep this extra work to a minimum, the form is very quick to fill in.

I’m not a global south expert, how can I get involved?

You can help promote the call for submissions, and spread the word to journalists about the database by using our social media toolkit: https://bit.ly/GSCD-Tooklit.

Who manages the database?

The database is hosted by Carbon Brief with the support of the Reuters Institute’s Oxford Climate Journalism Network (OCJN).

It is managed by Ayesha Tandon, science journalist at Carbon Brief, and Diego Arguedas Ortiz, the associate director of the OCJN.

Katherine Dunn – content editor at OCJN – helps maintain the database. Fermín Koop – an environmental reporter from Argentina and regional editor at Dialogo Chino – helped maintain the database in its first year, supported by funding from the OCJN.","The article invites climate experts from the global south (lower-income countries in Africa, Asia, and Latin America) to contribute their expertise to an online database. The term ""global south"" is used to describe developing countries and is often used in discussions about climate justice. The database aims to provide a platform for journalists to find reliable sources for climate stories.",https://www.carbonbrief.org/global-south-climate-database/
News,"Discover how the Singapore Energy Story sets the vision towards a net-zero energy future.

Gain insights into the four switches that power Singapore’s economy and our daily lives.","The Singapore Energy Story is paving the way to a green and sustainable energy future with a goal to achieve net-zero energy. The article explores four switches that are transforming the city's energy economy, including the push for cleaner transport options, optimization of energy efficiency technologies, integrated urban planning, and innovative solutions for resilient cities.",https://www.ema.gov.sg/news-events/news?id=media-releases/partnerships/research-and-development-engagements/grant-calls/second-energy-storage-grant-call
Guest post: How climate change is fuelling record-breaking extreme weather,"Recent years have seen a rapid succession of climate-related records broken.

To name just a few, the world has witnessed record warmth in the Atlantic, unprecedented glacier melt, all-time low Antarctic sea ice extent, the Amazon’s worst drought since observations began and UK temperatures soaring past 40C for the first time.

In a review article, published in Nature Reviews Earth & Environment, my coauthors and I look at how the frequency of weather records is changing as the planet warms.

We find that the number of hot temperature records observed around the world since 1950 far exceed what would be expected in a million years in a world without human-caused climate change.

Specifically, we show that “all-time” daily hot records on land were more than four times higher in 2016-24 than they would have been in a world without climate change.

Meanwhile, daily maximum rainfall records were up 40% over the same time period and record cold events were twice as rare.

A key finding of our research is that it is the pace of global warming that controls the occurrence of records.

We show that, if the pace of warming were to slow down, the frequency of record-breaking hot events would start to decline – even if global temperatures continue to rise.

Counting records

By definition, records are supposed to be rare events, at least in a system that is not changing.

Statistics of record occurrence are remarkably simple. They are expected to become rarer the longer a measurement series gets.

The chance of observing a new record after 20 years of measurement is one in 20, or 5%. And after 100 years of observations, the chances of a new record drops to 1%.

For example, this is why it becomes increasingly difficult to break records in athletics as time goes by, unless training methods or sports equipment improve.

Record-breaking weather events – for example, the highest windspeed, most intense rainfall or hot and cold temperatures – also face these odds in a climate that is “stationary”.

However, today’s climate is not stationary, but warming at a very high pace. This has significant implications for the record count.

The plot below shows how the frequency of all-time hot records (dashed red line) and record cold events (dashed blue line) has changed since the 1960s. This is compared to the probability that would be expected under a stationary climate (black line).

(The plot uses ERA5, a reanalysis dataset, which combines observations and models from the European Centre for Medium-Range Weather Forecasts (ECMWF).)

It illustrates how the frequency of hot events declined more slowly than would be expected in a stationary climate since 1950, before increasing in the last 15 years. Meanwhile, the frequency of record cold events is declining more quickly than expected.

The frequency of all-time hot records (dashed red line) and cold records (dashed blue line) over global land regions shown as a nine-year running average over 1950-2024, as represented by the Copernicus/ECMWF ERA5 surface temperature reanalysis. This is contrasted with the theoretical probability of new records expected in a stationary climate as the temperature measurement series expands (black line). Credit: Amended from Fischer et al (2025).

The record ratio

Tracking the ratio between the measured number of records and the one theoretically expected in a stationary climate – the “record ratio” – reveals the fingerprint of climate change.

Analysis of ERA5 data and Berkeley Earth surface temperature observations finds that the record ratio over the last decade for hot records over global land regions is more than four. For cold records, it is between 0.2 and 0.5, showing that record-breaking cold has declined

In other words, there were more than four times as many hot record events and less than half as many cold record events than would be expected without global warming.

In 2023 and 2024, the record ratio for hot events reached 5.5 and 6.2, respectively.

Record ratios tend to be higher over global oceans than on land. They are also higher for monthly or seasonal record temperatures than all-time daily records.

This is because natural variability in the climate tends to be smaller over oceans and for longer averaging periods, such as months and seasons.

Record counts directly relate to the relationship between rates of warming and natural fluctuations in the climate. This is sometimes referred to as the “signal-to-noise ratio”. (The “signal” being the long-term trend of climate change and “noise” referring to short-term fluctuations of natural variability.)

As a result, event types and regions with a higher signal-to-noise ratio tend to see a greater number of records.

Another way of illustrating the signal of climate change is by counting the total number of records in a measurement series.

In a stationary climate, there should be about five records in 100 years of temperature measurements, 7.5 in 1,000 years and less than 10 in 10,000 years.

However, our analysis of records in two measurement series shows how the number of record-breaking events has become significantly higher as the climate has changed.

For example, as the figure on the left below illustrates, a new annual record for average global temperature has been set 25 times over the past 175 years.

Meanwhile, the figure on the right shows how, in the Pacific north-west, a new five-day average heat record has been set 14 times within the last 75 years. The spike in temperature in 2021 reflects the brutal heatwave that killed hundreds of people and brought devastating wildfires that almost entirely destroyed the Canadian village of Lytton.

(In both figures, the warm records are marked by pink circles.)

According to fundamental laws of statistics, 14 new records would not be expected in more than a million years in a climate that is not warming.

Left: Global annual average temperature anomalies between 1850-2025, relative to 1850-1900, based on Berkeley Earth Surface Temperatures (BEST) data. Twenty-five warm records are marked by pink circles. Right: Annual five-day maxima of average temperature in the Pacific north-west, based on ERA5 reanalysis, along with 14 heat records marked by pink circles. Credit: Erich Fischer.

It is worth noting that some climate variables, including ocean heat content, sea level rise and minimum glacier or ice sheet volumes, are changing so relentlessly that new record levels are currently set every year.

Record-shattering events

Record-shattering events are a subset of record-breaking events whose magnitude exceeds the previous event by a large margin.

In our research, we define this as more than one standard deviation, which is a measure of how spread out data is from the average.

(The exact value of standard deviation varies for different parts of the world. For example, when it comes to year-to-year average temperatures, one standard deviation is typically 2-3C in the Arctic, but less than 0.5C over the ocean).

These events of unprecedented intensity are often very impactful as they strongly exceed the conditions that society or ecosystems have experienced in the past.

The 2021 heatwave in the Pacific north-west, mentioned above, is a forbidding example.

Our research finds that the large number of record-shattering events in the past three decades is the consequence of a very high warming rate.

Using a simple timeseries model, we illustrate why the pace of warming is the key factor explaining the occurrence of record-shattering events.

In the left-hand figure, we assume a 150-year period of no warming followed by some linear warming at three different rates, which is a very simplistic approximation of historical and future warming pathways.

The right-hand figure illustrates what happens to the probability of record-shattering events in the Pacific north-west region under these three simplified pathways. It shows that the probability of record-shattering events at first rapidly increases and then stabilises. And the level at which the probability stabilises is greater the higher the rate of warming.

Left: Three illustrative warming pathways with +/- 20% differing warming rates from a timeseries model. Right: Annual probability of record-shattering events (at or beyond one standard deviation) for different warming rates. Residual variability is used from Community Earth System Model 2 simulations for annual five-day maxima over the Pacific north-west. Credit: Amended from Fischer et al (2025).

We therefore conclude that the high frequency of record-shattering hot extremes in recent years is controlled by the very high rate of warming caused by human-caused greenhouse gas emissions.

This tight coupling of record counts to the rate or speed of warming implies that there will be early benefits of slowing down global warming.

In our research, we look at how the probability of hot and cold records changes under different emissions reduction scenarios. To do this, we analysed the occurrence of record hot and cold events in climate model projections in the CMIP6 archive.

The figure below shows how stabilising temperatures by achieving net-zero carbon emissions (SSP1-1.9 and SSP1-2.6) will lead to a rapid decline of records, even if temperatures remain higher than in the historical period.

(It is worth noting that, while the number of records will decline under this lower-emissions scenario, the number of heatwaves would remain higher than today.)

Under intermediate (SSP2-4.5), high (SSP3-7.0) and very high emission (SSP5-8.5) scenarios, the number of records would continue to increase to levels much higher than today.

Projected changes in record hot and cold records under different Shared Socioeconomic Pathways (SSP), including SSP1-1.19 (light blue), SSP1-2.6 (dark blue), SSP2-4.5 (yellow), SSP3-7.0 (orange) and SSP5-8.5 (dark red). The record ratio is calculated as the probability of all-time record daily hot or cold temperatures across global land regions, relative to the theoretically expected occurrence in a stationary climate. The black line represents the historical record. Credit: Fischer et al. (2025)

Rainfall records

We would also expect rainfall records to become progressively rarer in a stationary climate.

However, we find that record-breaking heavy precipitation occurred about 40% more often in 2015-24 than would be expected in a stationary climate. Many record-shattering heavy rainfall extremes occurred in the mid-latitudes and led to flooding which had large impacts.

(Calculating the frequency of records is more challenging for rainfall than for temperature, given small-scale variations and uncertainties in rainfall observations.)

The greater number of record-breaking rainfall events is due to an increase in precipitation intensity over most land regions as the atmosphere warms, as well as larger variations of rainfall intensity on a day-to-day, season-to-season and year-to-year basis .

We also find that the margin by which previous rainfall records are broken tends to become larger and larger in time. This is due to the “non-symmetric” distribution of rainfall – where there are many days with little precipitation, less with heavy precipitation and very few with very extreme precipitation.

It is therefore not surprising to see record-shattering precipitation events exceeding previous records by 20-50% in intensity, even if overall precipitation intensity increases by roughly 7% per degree of warming.

Preparing for the future

Efforts to adapt to climate change are typically informed by the worst events observed in recent generations.

This means that society is often underprepared for record-shattering events – which by their very definition are of unprecedented intensity.

Qualitative and quantitative storyline methods can offer insight into the many record-breaking events to come into the future – and, thus, help society prepare for escalating climate impacts.

These methods combine information from historical and paleoarchives, long measurement series, targeted climate model experiments, statistical and machine learning methods and weather forecasting systems.

Ultimately, these methods can improve society’s preparedness to climate change, so that the next record-shattering extreme does not come as a surprise.","The article examines how the frequency of climate records, such as daily high temperatures, rainfall, and cold events, have been exceeding natural expectations. The key insights are that the pace of global warming controls the occurrence of these extreme events and that records are expected to become less rare over time, even if temperatures continue to rise. The article also highlights the importance of understanding the changing frequency of climate extremes.",https://www.carbonbrief.org/guest-post-how-climate-change-is-fuelling-record-breaking-extreme-weather/
"Scope 3 infographic: Why waiting is a liability, not a strategy","Sustainability regulations are lifting, causing many finance teams to breathe a sigh of relief. But at some point you’ll need to comply. Insights from 315 sustainability professionals across 18 industries make the clear case in this infographic:

Forward-looking organizations aren’t slowing down on Scope 3. They’re getting ahead.

So whether you’re just starting out, or refining your approach, download this infographic and gain clear insights into how peers are dealing with the challenges – and opportunities – of Scope 3 reporting.

(And eventually, you’ll need help from people who’ve done this before. Our experts can set you up with the data floes and the platform functionality you need to stay compliant, now and into the future.)

Download the Scope 3 infographic today.

Leaders are pushing forward.

79% of GHG reporters now include Scope 1, 2 and 3 (up from 52% in 2024)

Laggards are strategizing.

73% of companies not yet reporting on Scope 3 plan to do so.

Methodologies are improving.

65% use hybrid data models (up 17 points year over year).","Finance teams are relieved about sustainability regulations are lifting, but the road to compliance is swift. Leaders are pushing forward with the majority of companies now reporting on all sustainability metrics (Scopes 1, 2, and 3), up from 52% in 2024. The laggards are catching up, with 73% of companies planning to report on Scope 3. The article also mentions that methodologies for ESG data are improving, with the use of hybrid data models increasing significantly.",https://sphera.com/resources/infographic/scope-3-infographic-why-waiting-is-a-liability-not-a-strategy/
